region,crop,Shortage_%,xland,p,y,xlandsc,xwater,xwatersc,grev,grevsc,lambdawater
BANTA-CARBONA I.D.,Cucurbits,0.6,324.6611668,203,12,310.0497369721767,746.5996259320906,711.2162815546287,790874.6023,755281.1592642224,582.8889057280475
BANTA-CARBONA I.D.,Dry Beans,0.6,1248.750059,1752,1.3,6.631772498326453e-21,2762.361701,6.631772498322845e-08,2844153.1343783997,1.5104525042188328e-17,582.8889057280475
BANTA-CARBONA I.D.,Grain,0.6,72.81367026,164,2.5,6.631772420611068e-21,33.97899734514724,6.631772420606704e-08,29853.604806599997,2.7190266924505377e-18,582.8889057280475
BANTA-CARBONA I.D.,Other Deciduous,0.6,5966.793346,1941.520674,2.07538957,5176.580458,20560.59844055851,17793.059169797998,24042667.26,20858574.158961616,582.8889057280475
BANTA-CARBONA I.D.,Pasture,0.6,8.53927993,276,5,6.6317717100669055e-21,39.282284924693066,6.631771710064713e-08,11784.206303399998,9.151844959892329e-18,582.8889057280475
BANTA-CARBONA I.D.,Safflower,0.6,52.20934812,574,1.3,6.631772509428018e-21,125.59767726324469,6.631772509424768e-08,38958.61556714401,4.948628646535187e-18,582.8889057280475
BANTA-CARBONA I.D.,Tomato Processing,0.6,750.894725,101,43.3,472.3233145,1786.8747878138583,1121.1593708189168,3283887.9008424995,2065611.5512307908,582.8889057280475
BANTA-CARBONA I.D.,Truck Crops,0.6,43.2080525,555,22.8,39.23312197364041,115.26753339094934,104.40182168522028,546754.6963,496455.9254544457,582.8889057280475
BANTA-CARBONA I.D.,Vineyard,0.6,351.735675,1689.181611,10.69211111,334.55713596106733,1089.8475423605726,1034.0285446326402,6352668.997352641,6042408.822,582.8889057280475
BANTA-CARBONA I.D.,Alfalfa,0.65,692.4817265,281,6.7,4.86734593123182e-19,2863.3879501255306,6.244624201368297e-09,1303735.346,9.163752184730148e-16,509.6256940271672
BANTA-CARBONA I.D.,Almonds & Pistachios,0.65,6944.405664,4883.344789,1.202182209,4167.437680807286,28639.45369734431,17143.980380719717,40768315.567165144,24465652.310378373,509.6256940271672
BANTA-CARBONA I.D.,Citrus & Subtropical,0.65,160.6387081,933,3.6,137.04059077621378,521.6687197067006,443.9220484,539553.2928,460291.93629914685,509.6256940271672
BANTA-CARBONA I.D.,Corn,0.65,282.9171526,59,27.1,4.227229459562689e-18,683.4795368215509,6.244624238834486e-09,452356.23529214005,6.758917182894784e-15,509.6256940271672
BANTA-CARBONA I.D.,Cucurbits,0.65,324.6611668,203,12,313.1937227243065,746.5996259320906,718.4282013514875,790874.6023,762939.9085564106,509.6256940271672
BANTA-CARBONA I.D.,Dry Beans,0.65,1248.750059,1752,1.3,2.5491645718050136e-17,2762.361701,6.244624392994795e-09,2844153.1343783997,5.805977228743099e-14,509.6256940271672
BANTA-CARBONA I.D.,Grain,0.65,72.81367026,164,2.5,73.54180746032048,33.97899734514724,34.23298986304984,29853.604806599997,30152.14106,509.6256940271672
BANTA-CARBONA I.D.,Other Deciduous,0.65,5966.793346,1941.520674,2.07538957,5318.622862603477,20560.59844055851,18281.29053,24042667.26,21430921.492341504,509.6256940271672
BANTA-CARBONA I.D.,Pasture,0.65,8.53927993,276,5,1.7360359986549394e-18,39.282284924693066,6.2446242125504326e-09,11784.206303399998,2.3957296781438162e-15,509.6256940271672
BANTA-CARBONA I.D.,Safflower,0.65,52.20934812,574,1.3,9.280642905832384e-19,125.59767726324469,6.2446242038166e-09,38958.61556714401,6.925215736332125e-16,509.6256940271672
BANTA-CARBONA I.D.,Tomato Processing,0.65,750.894725,101,43.3,512.1099093552838,1786.8747878138583,1215.6012759144255,3283887.9008424995,2239610.2665834622,509.6256940271672
BANTA-CARBONA I.D.,Truck Crops,0.65,43.2080525,555,22.8,39.58581653264334,115.26753339094934,105.34036417480854,546754.6963,500918.9224040689,509.6256940271672
BANTA-CARBONA I.D.,Vineyard,0.65,351.735675,1689.181611,10.69211111,335.4096150942837,1089.8475423605726,1036.6633344553147,6352668.997352641,6057805.3767888015,509.6256940271672
BANTA-CARBONA I.D.,Alfalfa,0.7,692.4817265,281,6.7,6.4660655509838006e-21,2863.3879501255306,6.46606555098148e-08,1303735.346,1.2173661612837201e-17,412.8454484854608
BANTA-CARBONA I.D.,Almonds & Pistachios,0.7,6944.405664,4883.344789,1.202182209,4685.376008068881,28639.45369734431,19274.67199540864,40768315.567165144,27506297.427007087,412.8454484854608
BANTA-CARBONA I.D.,Citrus & Subtropical,0.7,160.6387081,933,3.6,143.2356940287485,521.6687197067006,463.99013859173783,539553.2928,481100.04910376045,412.8454484854608
BANTA-CARBONA I.D.,Corn,0.7,282.9171526,59,27.1,77.84353157670124,683.4795368215509,187.58653817021397,452356.23529214005,124464.02263798761,412.8454484854608
BANTA-CARBONA I.D.,Cucurbits,0.7,324.6611668,203,12,316.58842544847863,746.5996259320906,726.2152354295214,790874.6023,771209.4043924939,412.8454484854608
BANTA-CARBONA I.D.,Dry Beans,0.7,1248.750059,1752,1.3,9.212048460435927e-19,2762.361701,6.466065463120766e-08,2844153.1343783997,2.0981361573488867e-15,412.8454484854608
BANTA-CARBONA I.D.,Grain,0.7,72.81367026,164,2.5,73.54180728315582,33.97899734514724,34.23298984008176,29853.604806599997,30152.140986093887,412.8454484854608
BANTA-CARBONA I.D.,Other Deciduous,0.7,5966.793346,1941.520674,2.07538957,5473.531137357094,20560.59844055851,18813.744744623666,24042667.26,22055110.715852976,412.8454484854608
BANTA-CARBONA I.D.,Pasture,0.7,8.53927993,276,5,6.4660655449126826e-21,39.282284924693066,6.466065544910356e-08,11784.206303399998,8.923170451979502e-18,412.8454484854608
BANTA-CARBONA I.D.,Safflower,0.7,52.20934812,574,1.3,6.46606554543329e-21,125.59767726324469,6.466065545430074e-08,38958.61556714401,4.8249781100023215e-18,412.8454484854608
BANTA-CARBONA I.D.,Tomato Processing,0.7,750.894725,101,43.3,560.6472658957483,1786.8747878138583,1330.8149663606505,3283887.9008424995,2451878.687941876,412.8454484854608
BANTA-CARBONA I.D.,Truck Crops,0.7,43.2080525,555,22.8,40.04121278374788,115.26753339094934,106.55220249452663,546754.6963,506681.5065655457,412.8454484854608
BANTA-CARBONA I.D.,Vineyard,0.7,351.735675,1689.181611,10.69211111,336.5119085773246,1089.8475423605726,1040.0702351711616,6352668.997352641,6077713.808,412.8454484854608
BANTA-CARBONA I.D.,Alfalfa,0.75,692.4817265,281,6.7,6.426351662917885e-21,2863.3879501255306,6.426351662915228e-08,1303735.346,1.2098892275775502e-17,300.2324680983801
BANTA-CARBONA I.D.,Almonds & Pistachios,0.75,6944.405664,4883.344789,1.202182209,5187.038691,28639.45369734431,21338.40895998703,40768315.567165144,30451393.601538494,300.2324680983801
BANTA-CARBONA I.D.,Citrus & Subtropical,0.75,160.6387081,933,3.6,148.6936887780261,521.6687197067006,481.6704783768728,539553.2928,499432.36186763406,300.2324680983801
BANTA-CARBONA I.D.,Corn,0.75,282.9171526,59,27.1,190.80946356781803,683.4795368215509,459.8106738891216,452356.23529214005,305085.2512985843,300.2324680983801
BANTA-CARBONA I.D.,Cucurbits,0.75,324.6611668,203,12,319.81072527024924,746.5996259320906,733.6067982151329,790874.6023,779058.9267583272,300.2324680983801
BANTA-CARBONA I.D.,Dry Beans,0.75,1248.750059,1752,1.3,2.006828524835395e-07,2762.361701,5.647384247625099e-07,2844153.1343783997,0.000457075,300.2324680983801
BANTA-CARBONA I.D.,Grain,0.75,72.81367026,164,2.5,73.54180750637116,33.97899734514724,34.23298994401468,29853.604806599997,30152.141077612174,300.2324680983801
BANTA-CARBONA I.D.,Other Deciduous,0.75,5966.793346,1941.520674,2.07538957,5621.804147487758,20560.59844055851,19323.392081034395,24042667.26,22652563.726083513,300.2324680983801
BANTA-CARBONA I.D.,Pasture,0.75,8.53927993,276,5,6.426351662918362e-21,39.282284924693066,6.426351662915595e-08,11784.206303399998,8.86836529482734e-18,300.2324680983801
BANTA-CARBONA I.D.,Safflower,0.75,52.20934812,574,1.3,6.426351662918306e-21,125.59767726324469,6.426351662914835e-08,38958.61556714401,4.79534361086964e-18,300.2324680983801
BANTA-CARBONA I.D.,Tomato Processing,0.75,750.894725,101,43.3,612.2559276,1786.8747878138583,1453.319049645753,3283887.9008424995,2677578.848069603,300.2324680983801
BANTA-CARBONA I.D.,Truck Crops,0.75,43.2080525,555,22.8,40.556779685771275,115.26753339094934,107.92415866497309,546754.6963,513205.4901437497,300.2324680983801
BANTA-CARBONA I.D.,Vineyard,0.75,351.735675,1689.181611,10.69211111,337.76194823254053,1089.8475423605726,1043.9337805762714,6352668.997352641,6100290.671460289,300.2324680983801
BANTA-CARBONA I.D.,Alfalfa,0.8,692.4817265,281,6.7,2.6899166740774716e-19,2863.3879501255306,6.359848923768537e-08,1303735.346,5.064306122285656e-16,198.85339240253225
BANTA-CARBONA I.D.,Almonds & Pistachios,0.8,6944.405664,4883.344789,1.202182209,5572.239401411465,28639.45369734431,22923.04535573598,40768315.567165144,32712779.944609817,198.85339240253225
BANTA-CARBONA I.D.,Citrus & Subtropical,0.8,160.6387081,933,3.6,152.62351357682553,521.6687197067006,494.4005451748246,539553.2928,512631.8574018416,198.85339240253225
BANTA-CARBONA I.D.,Corn,0.8,282.9171526,59,27.1,233.9474361117427,683.4795368215509,563.7641144133364,452356.23529214005,374058.5555990654,198.85339240253225
BANTA-CARBONA I.D.,Cucurbits,0.8,324.6611668,203,12,322.2491540208595,746.5996259320906,739.2002563692861,790874.6023,784998.9391948138,198.85339240253225
BANTA-CARBONA I.D.,Dry Beans,0.8,1248.750059,1752,1.3,361.4729574147124,2762.361701,797.6157750263657,2844153.1343783997,823290.8078,198.85339240253225
BANTA-CARBONA I.D.,Grain,0.8,72.81367026,164,2.5,73.54180759788416,33.97899734514724,34.23298998582856,29853.604806599997,30152.141115132505,198.85339240253225
BANTA-CARBONA I.D.,Other Deciduous,0.8,5966.793346,1941.520674,2.07538957,5734.678647236919,20560.59844055851,19711.366858772308,24042667.26,23107381.56241107,198.85339240253225
BANTA-CARBONA I.D.,Pasture,0.8,8.53927993,276,5,8.668569836474126e-21,39.282284924693066,6.359837554783507e-08,11784.206303399998,1.1962626374334293e-17,198.85339240253225
BANTA-CARBONA I.D.,Safflower,0.8,52.20934812,574,1.3,4.282369307409672e-19,125.59767726324469,6.359838976319055e-08,38958.61556714401,3.1955039771890975e-16,198.85339240253225
BANTA-CARBONA I.D.,Tomato Processing,0.8,750.894725,101,43.3,654.9418656881542,1786.8747878138583,1554.6431597329845,3283887.9008424995,2864257.2612140044,198.85339240253225
BANTA-CARBONA I.D.,Truck Crops,0.8,43.2080525,555,22.8,41.008422534685984,115.26753339094934,109.12600888368398,546754.6963,518920.57875391643,198.85339240253225
BANTA-CARBONA I.D.,Vineyard,0.8,351.735675,1689.181611,10.69211111,338.85879016225414,1089.8475423605726,1047.323831906076,6352668.997352641,6120100.643030241,198.85339240253225
BANTA-CARBONA I.D.,Alfalfa,0.85,692.4817265,281,6.7,58.19478760195281,2863.3879501255306,240.0318448372186,1303735.346,109563.32661819656,100.95243625900363
BANTA-CARBONA I.D.,Almonds & Pistachios,0.85,6944.405664,4883.344789,1.202182209,5899.522681,28639.45369734431,24269.421367621984,40768315.567165144,34634152.14946715,100.95243625900363
BANTA-CARBONA I.D.,Citrus & Subtropical,0.85,160.6387081,933,3.6,155.82446024424294,521.6687197067006,504.7695226564107,539553.2928,523383.1970683632,100.95243625900363
BANTA-CARBONA I.D.,Corn,0.85,282.9171526,59,27.1,261.57795829126763,683.4795368215509,630.3478612632372,452356.23529214005,418236.99751190783,100.95243625900363
BANTA-CARBONA I.D.,Cucurbits,0.85,324.6611668,203,12,324.30036126559696,746.5996259320906,743.9054756055291,790874.6023,789995.6800429942,100.95243625900363
BANTA-CARBONA I.D.,Dry Beans,0.85,1248.750059,1752,1.3,717.8960606,2762.361701,1584.0886875768856,2844153.1343783997,1635080.0675438368,100.95243625900363
BANTA-CARBONA I.D.,Grain,0.85,72.81367026,164,2.5,73.54180765822908,33.97899734514724,34.232990002307986,29853.604806599997,30152.141139873922,100.95243625900363
BANTA-CARBONA I.D.,Other Deciduous,0.85,5966.793346,1941.520674,2.07538957,5830.01442,20560.59844055851,20039.057128809054,24042667.26,23491528.646565136,100.95243625900363
BANTA-CARBONA I.D.,Pasture,0.85,8.53927993,276,5,4.813872391512536,39.282284924693066,22.08935148069624,11784.206303399998,6643.143900287299,100.95243625900363
BANTA-CARBONA I.D.,Safflower,0.85,52.20934812,574,1.3,41.17201406920091,125.59767726324469,98.79804478,38958.61556714401,30722.556898437724,100.95243625900363
BANTA-CARBONA I.D.,Tomato Processing,0.85,750.894725,101,43.3,693.2670716350036,1786.8747878138583,1645.6161489138144,3283887.9008424995,3031864.884381361,100.95243625900363
BANTA-CARBONA I.D.,Truck Crops,0.85,43.2080525,555,22.8,41.43390568528558,115.26753339094934,110.25824647760331,546754.6963,524304.6425416038,100.95243625900363
BANTA-CARBONA I.D.,Vineyard,0.85,351.735675,1689.181611,10.69211111,339.89359750287343,1089.8475423605726,1050.5221505486422,6352668.997352641,6138790.213,100.95243625900363
BANTA-CARBONA I.D.,Alfalfa,0.9,692.4817265,281,6.7,415.9635580764539,2863.3879501255306,1715.6948985355118,1303735.346,783134.5907905399,39.76153364709933
BANTA-CARBONA I.D.,Almonds & Pistachios,0.9,6944.405664,4883.344789,1.202182209,6086.085119309411,28639.45369734431,25036.90081838953,40768315.567165144,35729398.70130173,39.76153364709933
BANTA-CARBONA I.D.,Citrus & Subtropical,0.9,160.6387081,933,3.6,157.60155041869336,521.6687197067006,510.5261347186542,539553.2928,529352.0875463072,39.76153364709933
BANTA-CARBONA I.D.,Corn,0.9,282.9171526,59,27.1,275.16974834896223,683.4795368215509,663.1012165598838,452356.23529214005,439968.91063515574,39.76153364709933
BANTA-CARBONA I.D.,Cucurbits,0.9,324.6611668,203,12,325.4621467261801,746.5996259320906,746.5704698347038,790874.6023,792825.7894249747,39.76153364709933
BANTA-CARBONA I.D.,Dry Beans,0.9,1248.750059,1752,1.3,913.3772330852792,2762.361701,2015.4317900891533,2844153.1343783997,2080307.9860750318,39.76153364709933
BANTA-CARBONA I.D.,Grain,0.9,72.81367026,164,2.5,73.54180766,33.97899734514724,34.23299005200035,29853.604806599997,30152.141141682278,39.76153364709933
BANTA-CARBONA I.D.,Other Deciduous,0.9,5966.793346,1941.520674,2.07538957,5884.1517710998905,20560.59844055851,20225.139253305275,24042667.26,23709670.325024016,39.76153364709933
BANTA-CARBONA I.D.,Pasture,0.9,8.53927993,276,5,7.527323845190095,39.282284924693066,34.540529673496984,11784.206303399998,10387.706906362331,39.76153364709933
BANTA-CARBONA I.D.,Safflower,0.9,52.20934812,574,1.3,52.73144202030878,125.59767726324469,126.53651975205837,38958.61556714401,39348.202035554415,39.76153364709933
BANTA-CARBONA I.D.,Tomato Processing,0.9,750.894725,101,43.3,715.9448753167406,1786.8747878138583,1699.4467165722608,3283887.9008424995,3131041.7232227013,39.76153364709933
BANTA-CARBONA I.D.,Truck Crops,0.9,43.2080525,555,22.8,41.69474683579384,115.26753339094934,110.95236136605162,546754.6963,527605.3264601353,39.76153364709933
BANTA-CARBONA I.D.,Vineyard,0.9,351.735675,1689.181611,10.69211111,340.5286871039304,1089.8475423605726,1052.485046336049,6352668.997352641,6150260.513876895,39.76153364709933
BANTA-CARBONA I.D.,Alfalfa,0.95,692.4817265,281,6.7,604.4552352,2863.3879501255306,2493.152929485582,1303735.346,1138007.8712311627,6.850974544770862e-09
BANTA-CARBONA I.D.,Almonds & Pistachios,0.95,6944.405664,4883.344789,1.202182209,6200.924166,28639.45369734431,25509.325008459466,40768315.567165144,36403580.87592322,6.850974544770862e-09
BANTA-CARBONA I.D.,Citrus & Subtropical,0.95,160.6387081,933,3.6,158.68018397230028,521.6687197067006,514.0202033926112,539553.2928,532975.0019261623,6.850974544770862e-09
BANTA-CARBONA I.D.,Corn,0.95,282.9171526,59,27.1,282.96185908451497,683.4795368215509,681.8785646138114,452356.23529214005,452427.7165,6.850974544770862e-09
BANTA-CARBONA I.D.,Cucurbits,0.95,324.6611668,203,12,326.1748122548731,746.5996259320906,748.2052379675129,790874.6023,794561.8426528708,6.850974544770862e-09
BANTA-CARBONA I.D.,Dry Beans,0.95,1248.750059,1752,1.3,1031.285211097461,2762.361701,2275.604124883187,2844153.1343783997,2348855.1967955767,6.850974544770862e-09
BANTA-CARBONA I.D.,Grain,0.95,72.81367026,164,2.5,73.54180766501679,33.97899734514724,34.232990158555516,29853.604806599997,30152.141142656885,6.850974544770862e-09
BANTA-CARBONA I.D.,Other Deciduous,0.95,5966.793346,1941.520674,2.07538957,5917.407243485469,20560.59844055851,20339.44571362331,24042667.26,23843670.31643104,6.850974544770862e-09
BANTA-CARBONA I.D.,Pasture,0.95,8.53927993,276,5,8.624667047649014,39.282284924693066,39.575893756250395,11784.206303399998,11902.04052575564,6.850974544770862e-09
BANTA-CARBONA I.D.,Safflower,0.95,52.20934812,574,1.3,52.73144207784968,125.59767726324469,126.53651999466729,38958.61556714401,39348.202078491435,6.850974544770862e-09
BANTA-CARBONA I.D.,Tomato Processing,0.95,750.894725,101,43.3,730.1997228344742,1786.8747878138583,1733.283614904777,3283887.9008424995,3193382.4478720054,6.850974544770862e-09
BANTA-CARBONA I.D.,Truck Crops,0.95,43.2080525,555,22.8,41.86220439721009,115.26753339094934,111.39797679302644,546754.6963,529724.3344422965,6.850974544770862e-09
BANTA-CARBONA I.D.,Vineyard,0.95,351.735675,1689.181611,10.69211111,340.9366867400151,1089.8475423605726,1053.7460665455928,6352668.997352641,6157629.3616319215,6.850974544770862e-09
BANTA-CARBONA I.D.,Alfalfa,1,692.4817265,281,6.7,604.4552352,2863.3879501255306,2493.152929573469,1303735.346,1138007.8712712794,2.0193328499137176e-09
BANTA-CARBONA I.D.,Almonds & Pistachios,1,6944.405664,4883.344789,1.202182209,6200.924166432989,28639.45369734431,25509.325008515705,40768315.567165144,36403580.87600347,2.0193328499137176e-09
BANTA-CARBONA I.D.,Citrus & Subtropical,1,160.6387081,933,3.6,158.680184,521.6687197067006,514.0202033930249,539553.2928,532975.0019265913,2.0193328499137176e-09
BANTA-CARBONA I.D.,Corn,1,282.9171526,59,27.1,282.9618590854197,683.4795368215509,681.8785646159914,452356.23529214005,452427.71649167757,2.0193328499137176e-09
BANTA-CARBONA I.D.,Cucurbits,1,324.6611668,203,12,326.17481225495777,746.5996259320906,748.205238,790874.6023,794561.8426530771,2.0193328499137176e-09
BANTA-CARBONA I.D.,Dry Beans,1,1248.750059,1752,1.3,1031.2852111113941,2762.361701,2275.604124913932,2844153.1343783997,2348855.196827311,2.0193328499137176e-09
BANTA-CARBONA I.D.,Grain,1,72.81367026,164,2.5,73.54180766501679,33.97899734514724,34.232990158555516,29853.604806599997,30152.141142656885,2.0193328499137176e-09
BANTA-CARBONA I.D.,Other Deciduous,1,5966.793346,1941.520674,2.07538957,5917.407243489424,20560.59844055851,20339.445713636906,24042667.26,23843670.31644698,2.0193328499137176e-09
BANTA-CARBONA I.D.,Pasture,1,8.53927993,276,5,8.624667016856087,39.282284924693066,39.57589361495131,11784.206303399998,11902.04048,2.0193328499137176e-09
BANTA-CARBONA I.D.,Safflower,1,52.20934812,574,1.3,52.731442077849685,125.59767726324469,126.53651999466729,38958.61556714401,39348.202078491435,2.0193328499137176e-09
BANTA-CARBONA I.D.,Tomato Processing,1,750.894725,101,43.3,730.1997228361844,1786.8747878138583,1733.2836149088364,3283887.9008424995,3193382.4478794844,2.0193328499137176e-09
BANTA-CARBONA I.D.,Truck Crops,1,43.2080525,555,22.8,41.86220439723034,115.26753339094934,111.39797679308035,546754.6963,529724.3344425528,2.0193328499137176e-09
BANTA-CARBONA I.D.,Vineyard,1,351.735675,1689.181611,10.69211111,340.93668674006443,1089.8475423605726,1053.7460665457452,6352668.997352641,6157629.361632813,2.0193328499137176e-09
BROADVIEW W.D.,Grain,0.5,2599.513597,303,2.9,986.7702952012489,1213.080803312567,459.3318911280948,2284192.598,867075.0583933374,1321.2826145749686
BROADVIEW W.D.,Onions & Garlic,0.5,248.9715926,2366,7.7,224.45694067572296,368.68262090906615,331.5498288543235,4535814.268,4089201.436618456,1321.2826145749686
BROADVIEW W.D.,Grain,0.55,2599.513597,303,2.9,1156.6722180952356,1213.080803312567,538.4195693076271,2284192.598,1016367.8780402835,1321.252465
BROADVIEW W.D.,Onions & Garlic,0.55,248.9715926,2366,7.7,224.4572749946605,368.68262090906615,331.5503226819314,4535814.268,4089207.527307724,1321.252465
BROADVIEW W.D.,Grain,0.6,2599.513597,303,2.9,1326.5740430287906,1213.080803312567,617.5072018884534,2284192.598,1165660.6116093982,1321.2195307669397
BROADVIEW W.D.,Onions & Garlic,0.6,248.9715926,2366,7.7,224.4576401836017,368.68262090906615,331.55086210751864,4535814.268,4089214.180392893,1321.2195307669397
BROADVIEW W.D.,Grain,0.65,2599.513597,303,2.9,1496.4757609565315,1213.080803312567,696.5947846596052,2284192.598,1314953.2511525042,1321.1835556988005
BROADVIEW W.D.,Onions & Garlic,0.65,248.9715926,2366,7.7,224.45803909252973,368.68262090906615,331.5514513416406,4535814.268,4089221.447795525,1321.1835556988005
BROADVIEW W.D.,Grain,0.7,2599.513597,303,2.9,1666.377361999643,1213.080803312567,775.682313,2284192.598,1464245.7879890862,1321.1442586704009
BROADVIEW W.D.,Onions & Garlic,0.7,248.9715926,2366,7.7,224.4584748349116,368.68262090906615,331.5520949830882,4535814.268,4089229.386237387,1321.1442586704009
BROADVIEW W.D.,Grain,0.75,2599.513597,303,2.9,1836.2788353701212,1213.080803312567,854.7697819555254,2284192.598,1613538.2126397253,1321.101332921544
BROADVIEW W.D.,Onions & Garlic,0.75,248.9715926,2366,7.7,224.4589508121288,368.68262090906615,331.55279805439056,4535814.268,4089238.0576855247,1321.101332921544
BROADVIEW W.D.,Grain,0.8,2599.513597,303,2.9,2006.1801692109343,1213.080803312567,933.857186,2284192.598,1762830.5146856478,1321.054443329304
BROADVIEW W.D.,Onions & Garlic,0.8,248.9715926,2366,7.7,224.45947073933863,368.68262090906615,331.5535660455699,4535814.268,4089247.529823419,1321.054443329304
